[1.072s] Invoking command in '/home/ishara/fyp/Human_Preffered_Velocity_Prediction/build/smrr_interfaces': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_goal_predictor:/home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/preffered_velocity_prediction:/home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/mini_project_kf:/home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/human_data_buffer:/home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/goal_predictor:/home/ishara/ros2_ws/install/my_robot_controller:/opt/ros/humble /usr/bin/cmake --build /home/ishara/fyp/Human_Preffered_Velocity_Prediction/build/smrr_interfaces -- -j6 -l6
[2.070s] [  1%] Built target smrr_interfaces__cpp
[2.076s] [  1%] Built target ament_cmake_python_symlink_smrr_interfaces
[2.082s] [ 12%] Built target smrr_interfaces__rosidl_generator_c
[2.250s] [ 24%] Built target smrr_interfaces__rosidl_typesupport_introspection_c
[2.255s] [ 35%] Built target smrr_interfaces__rosidl_typesupport_fastrtps_c
[2.281s] [ 58%] Built target smrr_interfaces__rosidl_typesupport_fastrtps_cpp
[2.281s] [ 58%] Built target smrr_interfaces__rosidl_typesupport_introspection_cpp
[2.335s] [ 69%] Built target smrr_interfaces__rosidl_typesupport_cpp
[2.356s] running egg_info
[2.357s] writing smrr_interfaces.egg-info/PKG-INFO
[2.357s] writing dependency_links to smrr_interfaces.egg-info/dependency_links.txt
[2.357s] writing top-level names to smrr_interfaces.egg-info/top_level.txt
[2.364s] [ 81%] Built target smrr_interfaces__rosidl_typesupport_c
[2.390s] reading manifest file 'smrr_interfaces.egg-info/SOURCES.txt'
[2.405s] writing manifest file 'smrr_interfaces.egg-info/SOURCES.txt'
[2.414s] [ 81%] Built target smrr_interfaces
[2.438s] [ 81%] Built target ament_cmake_python_build_smrr_interfaces_egg
[2.514s] [ 82%] Built target smrr_interfaces__py
[2.645s] [ 92%] Built target smrr_interfaces__rosidl_generator_py
[2.715s] [ 94%] Built target smrr_interfaces__rosidl_typesupport_c__pyext
[2.764s] [ 97%] Built target smrr_interfaces__rosidl_typesupport_introspection_c__pyext
[2.765s] [100%] Built target smrr_interfaces__rosidl_typesupport_fastrtps_c__pyext
[2.777s] Invoked command in '/home/ishara/fyp/Human_Preffered_Velocity_Prediction/build/smrr_interfaces' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_goal_predictor:/home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/preffered_velocity_prediction:/home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/mini_project_kf:/home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/human_data_buffer:/home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/goal_predictor:/home/ishara/ros2_ws/install/my_robot_controller:/opt/ros/humble /usr/bin/cmake --build /home/ishara/fyp/Human_Preffered_Velocity_Prediction/build/smrr_interfaces -- -j6 -l6
[3.000s] Invoking command in '/home/ishara/fyp/Human_Preffered_Velocity_Prediction/build/smrr_interfaces': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_goal_predictor:/home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/preffered_velocity_prediction:/home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/mini_project_kf:/home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/human_data_buffer:/home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/goal_predictor:/home/ishara/ros2_ws/install/my_robot_controller:/opt/ros/humble /usr/bin/cmake --install /home/ishara/fyp/Human_Preffered_Velocity_Prediction/build/smrr_interfaces
[3.015s] -- Install configuration: ""
[3.035s] -- Execute custom install script
[3.036s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/share/ament_index/resource_index/rosidl_interfaces/smrr_interfaces
[3.039s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/buffer.h
[3.040s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/data_element_float.h
[3.040s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/data_element_int.h
[3.040s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/data_element_string.h
[3.040s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/buffer__functions.h
[3.040s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/buffer__struct.h
[3.040s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/buffer__type_support.h
[3.040s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/data_element_float__functions.h
[3.041s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/data_element_float__struct.h
[3.041s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/data_element_float__type_support.h
[3.041s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/data_element_int__functions.h
[3.041s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/data_element_int__struct.h
[3.041s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/data_element_int__type_support.h
[3.041s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/data_element_string__functions.h
[3.041s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/data_element_string__struct.h
[3.041s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/data_element_string__type_support.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/entities__functions.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/entities__struct.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/entities__type_support.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/pref_velocity__functions.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/pref_velocity__struct.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/pref_velocity__type_support.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/velocity_class_data__functions.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/velocity_class_data__struct.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/velocity_class_data__type_support.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/entities.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/pref_velocity.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/rosidl_generator_c__visibility_control.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/velocity_class_data.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/share/smrr_interfaces/environment/library_path.sh
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/share/smrr_interfaces/environment/library_path.dsv
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/buffer__rosidl_typesupport_fastrtps_c.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/data_element_float__rosidl_typesupport_fastrtps_c.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/data_element_int__rosidl_typesupport_fastrtps_c.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/data_element_string__rosidl_typesupport_fastrtps_c.h
[3.042s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/entities__rosidl_typesupport_fastrtps_c.h
[3.043s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/pref_velocity__rosidl_typesupport_fastrtps_c.h
[3.043s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/velocity_class_data__rosidl_typesupport_fastrtps_c.h
[3.043s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/rosidl_typesupport_fastrtps_c__visibility_control.h
[3.043s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/buffer.hpp
[3.043s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/data_element_float.hpp
[3.043s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/data_element_int.hpp
[3.043s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/data_element_string.hpp
[3.043s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/buffer__builder.hpp
[3.043s] -- Up-to-date symlink: /home/ishara/fyp/Human_Preffered_Velocity_Prediction/install/smrr_interfaces/include/smrr_interfaces/smrr_interfaces/msg/detail/buffer__struct.hpp
